DateTime, Moisture Value, Indoor Temperature (C), Indoor Pressure (hPa), Indoor Humidity (%), Outdoor Temperature (C), Outdoor Pressure (hPa), Outdoor Humidity (%), Precipitation Probability (%), Precipitation Intensity (mm/h), Cloud Cover
06/12/2019 00:21:20,13970,21.0,1012.08,54,9.28,1011.6,93.0,100,0.76,1
06/12/2019 01:01:27,14233,20.9,1011.89,56,9.56,1011,93.0,9.0,0.07,1
06/12/2019 02:01:36,14301,20.8,1011.74,59,9.92,1010.1,92.0,91.0,0.18,1
06/12/2019 03:01:44,14318,20.6,1011.42,59,10.15,1009.3,92.0,1.0,0.08,1
06/12/2019 04:01:52,14315,20.4,1011.01,60,10.54,1008.8,92.0,90.0,0.13,1
06/12/2019 05:01:59,14304,20.2,1010.64,61,10.81,1008.4,93.0,0,0,0.99
06/12/2019 06:00:08,14291,20.0,1010.04,61,10.95,1007.9,94.0,4.0,0.15,1
06/12/2019 07:00:17,14282,19.9,1009.49,61,11.15,1008.1,94.0,24.0,0.2,1
06/12/2019 08:00:25,14269,19.7,1008.84,61,11.27,1007.3,95.0,0,0,0.99
06/12/2019 09:00:33,14264,19.7,1008.34,61,11.59,1006.6,96.0,60.0,0.07,0.99
06/12/2019 10:00:41,14255,19.8,1007.77,60,11.96,1005.9,97.0,0,0,1
06/12/2019 11:00:50,14250,19.8,1007.22,61,12.55,1005.2,98.0,6.0,0.21,1
06/12/2019 12:00:58,14237,20.0,1006.52,61,12.79,1004.5,96.0,0,0,0.99
06/12/2019 13:01:08,14222,20.1,1005.80,62,12.74,1003.8,94.0,0,0,0.96
06/12/2019 14:01:17,14219,20.3,1005.05,63,12.76,1002.9,89.0,5.0,0.07,0.91
06/12/2019 15:01:26,14242,33.0,725.28,100,12.24,1002.4,88.0,98.0,0.15,0.88
06/12/2019 16:01:34,14133,198.2,902.56,0,11.71,1002.7,86.0,67.0,0.18,0.9
06/12/2019 17:01:42,14191,33.0,725.28,100,10.98,1003.5,83.0,0,0,0.93
06/12/2019 17:26:54,14189,21.9,1004.22,60,10.66,1003.9,83.0,0,0,0.93
06/12/2019 18:01:01,14197,21.9,1004.34,59,10.3,1004.5,81.0,0,0,0.89
06/12/2019 19:01:10,14211,22.0,1004.74,59,9.93,1005.9,82.0,0,0,0.62
06/12/2019 20:01:18,14212,22.0,1005.43,60,9.63,1007.1,81.0,0,0,0.38
06/12/2019 21:01:27,14210,22.0,1006.12,61,9.3,1008,81.0,0,0,0.2
06/12/2019 22:01:34,14297,22.0,1006.87,60,8.97,1008.9,80.0,0,0,0.14
06/12/2019 23:01:43,14300,21.8,1007.68,60,8.64,1009.6,80.0,0,0,0.13
07/12/2019 00:01:51,14279,21.6,1008.48,61,8.37,1009.8,80.0,0,0,0.12
07/12/2019 01:01:59,14252,21.4,1009.07,60,8.15,1010.9,79.0,0,0,0.21
07/12/2019 02:00:07,14222,21.2,1009.72,59,7.97,1010.6,80.0,0,0,0.2
